year,month,day,u1060S
1980,3,21,-4.0507
1980,3,22,-4.038788
1980,3,23,-4.293844
1980,3,24,-4.5135393
1980,3,25,-4.728196
1980,3,26,-5.007189
1980,3,27,-5.151848
1980,3,28,-4.8891344
1980,3,29,-4.823991
1980,3,30,-4.6781893
1980,3,31,-3.2304564
1980,4,1,-2.692151
1980,4,2,-2.6541157
1980,4,3,-3.263978
1980,4,4,-4.323249
1980,4,5,-4.8553534
1980,4,6,-5.5072546
1980,4,7,-6.2130737
1980,4,8,-6.288293
1980,4,9,-6.2627373
1980,4,10,-6.112279
1980,4,11,-6.0876093
1980,4,12,-6.383278
1980,4,13,-6.2240543
1980,4,14,-5.975173
1980,4,15,-6.785681
1980,4,16,-7.0420876
1980,4,17,-6.347126
1980,4,18,-5.6273413
1980,4,19,-3.362486
1980,4,20,-1.9895344
1980,4,21,-1.4398594
1980,4,22,-1.9590855
1980,4,23,-1.4875526
1980,4,24,-1.4478359
1980,4,25,-1.4607124
1980,4,26,-0.685503
1980,4,27,-0.6876545
1980,4,28,-2.2901592
1980,4,29,-3.6638355
1980,4,30,-4.309799
1980,5,1,-4.1728935
1980,5,2,-3.6164284
1980,5,3,-3.4697628
1980,5,4,-3.3005047
1980,5,5,-2.658722
1980,5,6,-1.5987148
1980,5,7,-2.1153908
1980,5,8,-2.6431637
1980,5,9,-1.8413734
1980,5,10,-2.4801407
1980,5,11,-4.27318
1980,5,12,-4.7464085
1980,5,13,-3.5923424
1980,5,14,-2.830246
1980,5,15,-2.294733
1980,5,16,-2.6680698
1980,5,17,-4.30459
1980,5,18,-4.5005474
1980,5,19,-3.7217026
1980,5,20,-1.8563671
1980,5,21,1.2064095
1980,5,22,2.8810253
1980,5,23,2.040657
1980,5,24,1.871357
1980,5,25,2.2500992
1980,5,26,2.4889145
1980,5,27,1.9026299
1980,5,28,-0.05235672
1980,5,29,-1.1645966
1980,5,30,-1.6564217
1980,5,31,-2.1335487
1980,6,1,-2.8023014
1980,6,2,-4.3512325
1980,6,3,-4.733385
1980,6,4,-5.098465
1980,6,5,-8.411581
1980,6,6,-8.5568695
1980,6,7,-8.026859
1980,6,8,-8.22649
1980,6,9,-9.385862
1980,6,10,-8.984497
1980,6,11,-6.8585987
1980,6,12,-6.1068077
1980,6,13,-4.6622467
1980,6,14,-5.0954437
1980,6,15,-5.513294
1980,6,16,-4.8139267
1980,6,17,-1.8754158
1980,6,18,0.31320953
1980,6,19,1.2768555
1980,6,20,1.3189545
1980,6,21,0.95038605
1980,6,22,1.9743538
1980,6,23,2.8890305
1980,6,24,1.0664825
1980,6,25,-2.429287
1980,6,26,-3.4958038
1980,6,27,-3.472332
1980,6,28,-2.2968102
1980,6,29,-2.44355
1980,6,30,-3.5807228
1980,7,1,-2.5819244
1980,7,2,-2.7957115
1980,7,3,-3.7667046
1980,7,4,-3.8075066
1980,7,5,-3.0069122
1980,7,6,-2.641449
1980,7,7,-2.3629417
1980,7,8,-1.8256073
1980,7,9,-1.4106369
1980,7,10,-1.0796776
1980,7,11,-4.1991577
1980,7,12,-5.449112
1980,7,13,-4.4074097
1980,7,14,-4.322792
1980,7,15,-3.6194
1980,7,16,-5.04039
1980,7,17,-5.5746574
1980,7,18,-6.785389
1980,7,19,-7.6437073
1980,7,20,-6.4869995
1980,7,21,-6.5185966
1980,7,22,-7.027233
1980,7,23,-6.2656593
1980,7,24,-4.949188
1980,7,25,-3.6880913
1980,7,26,-5.431137
1980,7,27,-9.162624
1980,7,28,-11.544201
1980,7,29,-9.913425
1980,7,30,-9.091377
1980,7,31,-8.669498
1980,8,1,-7.7115974
1980,8,2,-7.575981
1980,8,3,-8.32658
1980,8,4,-8.354279
1980,8,5,-6.136944
1980,8,6,-5.203602
1980,8,7,-5.4851875
1980,8,8,-3.359909
1980,8,9,-2.326828
1980,8,10,-2.6511383
1980,8,11,-2.5469208
1980,8,12,-2.7730064
1980,8,13,-4.1551743
1980,8,14,-4.091446
1980,8,15,-3.5673103
1980,8,16,-3.5765533
1980,8,17,-3.4264069
1980,8,18,-2.349041
1980,8,19,-1.8936577
1980,8,20,-2.7158394
1980,8,21,-3.2341766
1980,8,22,-3.7687798
1980,8,23,-3.7850342
1980,8,24,-2.929882
1980,8,25,-2.4706078
1980,8,26,-2.7648506
1980,8,27,-2.9800453
1980,8,28,-3.393364
1980,8,29,-5.2506638
1980,8,30,-6.480522
1980,8,31,-7.217663
1980,9,1,-7.921482
1980,9,2,-8.710503
1980,9,3,-9.401314
1980,9,4,-8.438984
1980,9,5,-7.6707687
1980,9,6,-7.8494034
1980,9,7,-7.148201
1980,9,8,-4.7247963
1980,9,9,-3.7265396
1980,9,10,-3.588581
1980,9,11,-4.371212
1980,9,12,-3.9879227
1980,9,13,-3.4237556
1980,9,14,-3.2541618
1980,9,15,-2.95652
1980,9,16,-3.4311752
1980,9,17,-2.6269035
1980,9,18,-1.6974258
1980,9,19,-3.073143
1980,9,20,-6.201275
1980,9,21,-8.122768
1980,9,22,-7.272339
1980,9,23,-4.7277336
1980,9,24,-1.9607468
1980,9,25,-0.12827682
1980,9,26,-0.2601738
1980,9,27,-0.24609375
1980,9,28,0.11619949
1980,9,29,0.3492241
1980,9,30,1.1651382
1980,10,1,1.6319122
1980,10,2,2.94693
1980,10,3,0.74723816
1980,10,4,0.1892395
1980,10,5,0.47782898
1980,10,6,1.9990425
1980,10,7,2.5479164
1980,10,8,0.8925972
1980,10,9,0.6289978
1980,10,10,-0.39440536
1980,10,11,-0.738266
1980,10,12,2.2383957
1980,10,13,5.3048058
1980,10,14,7.8666573
1980,10,15,7.7370377
1980,10,16,8.044212
1980,10,17,8.035454
1980,10,18,7.2548637
1980,10,19,5.8592377
1980,10,20,3.7759705
1980,10,21,1.929409
1980,10,22,0.3635826
1980,10,23,0.4867134
1980,10,24,1.5448608
1980,10,25,2.3586998
1980,10,26,3.2390633
1980,10,27,5.3277016
1980,10,28,7.5057983
1980,10,29,8.827602
1980,10,30,8.32346
1980,10,31,9.953186
1980,11,1,11.392979
1980,11,2,9.334835
1980,11,3,7.3027687
1980,11,4,3.8700523
1980,11,5,-1.0694103
1980,11,6,-2.5169601
1980,11,7,-1.0872135
1980,11,8,-0.62314606
1980,11,9,1.2604046
1980,11,10,1.3501301
1980,11,11,0.77719116
1980,11,12,2.8593273
1980,11,13,0.57915497
1980,11,14,-1.7711048
1980,11,15,-4.5043774
1980,11,16,-6.5468025
1980,11,17,-6.0618687
1980,11,18,-4.0286674
1980,11,19,-4.0725746
1980,11,20,-3.8223495
1980,11,21,-7.0706463
1980,11,22,-10.862067
1980,11,23,-13.894541
1980,11,24,-15.998753
1980,11,25,-16.741869
1980,11,26,-18.956621
1980,11,27,-20.00323
1980,11,28,-19.17342
1980,11,29,-17.894028
1980,11,30,-16.794306
1980,12,1,-15.934129
1980,12,2,-15.509505
1980,12,3,-15.194346
1980,12,4,-14.350342
1980,12,5,-13.88689
1980,12,6,-13.2823105
1980,12,7,-12.240886
1980,12,8,-10.692257
1980,12,9,-10.184794
1980,12,10,-9.8665695
1980,12,11,-9.671628
1980,12,12,-8.834377
1980,12,13,-7.6559362
1980,12,14,-6.733304
1980,12,15,-6.1228986
1980,12,16,-5.9286137
1980,12,17,-6.1106644
1980,12,18,-5.6356006
1980,12,19,-5.3252473
1980,12,20,-5.2181206
1980,12,21,-4.94845
1980,12,22,-4.5176363
1980,12,23,-3.6696167
1980,12,24,-3.2294683
1980,12,25,-2.8214037
1980,12,26,-2.4403899
1980,12,27,-2.8077435
1980,12,28,-3.3069544
1980,12,29,-3.6631527
1980,12,30,-3.0608392
1980,12,31,-2.0169585
1981,1,1,-0.93500274
1981,1,2,-0.49605936
1981,1,3,-0.59414566
1981,1,4,-1.0467994
1981,1,5,-1.053682
1981,1,6,-1.1254904
1981,1,7,-0.8334452
1981,1,8,-0.005110264
1981,1,9,0.24555111
1981,1,10,-0.091748476
1981,1,11,-0.35171533
1981,1,12,-0.35146308
1981,1,13,-0.53413707
1981,1,14,-0.498796
1981,1,15,-0.4975456
1981,1,16,-0.2744696
1981,1,17,-0.27157414
1981,1,18,-0.9575215
1981,1,19,-1.5199698
1981,1,20,-1.5452554
1981,1,21,-1.6357441
1981,1,22,-2.0567145
1981,1,23,-1.4196675
1981,1,24,0.067658186
1981,1,25,0.9743552
1981,1,26,1.4655535
1981,1,27,1.40731
1981,1,28,1.4720721
1981,1,29,1.3524487
1981,1,30,0.6307416
1981,1,31,0.30761623
1981,2,1,0.19232607
1981,2,2,0.56047106
1981,2,3,0.65064526
1981,2,4,0.36146212
1981,2,5,0.32562494
1981,2,6,0.08066177
1981,2,7,0.21920061
1981,2,8,0.9298196
