year,month,day,u1060S
1980,5,11,-4.1656914
1980,5,12,-4.62434
1980,5,13,-3.521391
1980,5,14,-2.7871952
1980,5,15,-2.3110847
1980,5,16,-2.687727
1980,5,17,-4.312252
1980,5,18,-4.514841
1980,5,19,-3.7892952
1980,5,20,-1.9456139
1980,5,21,1.153141
1980,5,22,2.8227825
1980,5,23,1.9593773
1980,5,24,1.7963638
1980,5,25,2.164856
1980,5,26,2.395897
1980,5,27,1.8072624
1980,5,28,-0.12561035
1980,5,29,-1.206852
1980,5,30,-1.672966
1980,5,31,-2.1399574
1980,6,1,-2.8363476
1980,6,2,-4.406351
1980,6,3,-4.7876186
1980,6,4,-5.1470222
1980,6,5,-8.439009
1980,6,6,-8.547352
1980,6,7,-7.9689484
1980,6,8,-8.128155
1980,6,9,-9.268488
1980,6,10,-8.861908
1980,6,11,-6.7668247
1980,6,12,-6.046665
1980,6,13,-4.6050034
1980,6,14,-5.0515785
1980,6,15,-5.468857
1980,6,16,-4.7297287
1980,6,17,-1.7923393
1980,6,18,0.380085
1980,6,19,1.3514938
1980,6,20,1.4045067
1980,6,21,1.0298729
1980,6,22,2.0538635
1980,6,23,2.9851685
1980,6,24,1.1676216
1980,6,25,-2.3496323
1980,6,26,-3.470047
1980,6,27,-3.4858017
1980,6,28,-2.3324966
1980,6,29,-2.4805565
1980,6,30,-3.5684967
1980,7,1,-2.5200386
1980,7,2,-2.7473297
1980,7,3,-3.734272
1980,7,4,-3.7940521
1980,7,5,-3.0150566
1980,7,6,-2.651493
1980,7,7,-2.3658981
1980,7,8,-1.8568115
1980,7,9,-1.4643021
1980,7,10,-1.1330719
1980,7,11,-4.248272
1980,7,12,-5.484455
1980,7,13,-4.415207
1980,7,14,-4.330559
1980,7,15,-3.6534996
1980,7,16,-5.0825386
1980,7,17,-5.611492
1980,7,18,-6.814373
1980,7,19,-7.6896286
1980,7,20,-6.5285187
1980,7,21,-6.5519485
1980,7,22,-7.094368
1980,7,23,-6.370655
1980,7,24,-5.055111
1980,7,25,-3.7984657
1980,7,26,-5.594097
1980,7,27,-9.374477
1980,7,28,-11.76783
1980,7,29,-10.065479
1980,7,30,-9.211388
1980,7,31,-8.748962
1980,8,1,-7.7459984
1980,8,2,-7.62759
1980,8,3,-8.395191
1980,8,4,-8.444492
1980,8,5,-6.2163277
1980,8,6,-5.2983284
1980,8,7,-5.595936
1980,8,8,-3.4410286
1980,8,9,-2.3573494
1980,8,10,-2.6841812
1980,8,11,-2.6049614
1980,8,12,-2.870041
1980,8,13,-4.253582
1980,8,14,-4.2024918
