year,month,day,u1060S
1980,7,4,-2.2388992
1980,7,5,-2.6071548
1980,7,6,-2.3561172
1980,7,7,-1.7905731
1980,7,8,-2.29142
1980,7,9,-2.2519531
1980,7,10,-2.3385773
1980,7,11,-5.543442
1980,7,12,-6.066681
1980,7,13,-4.9774017
1980,7,14,-4.849701
1980,7,15,-4.9902954
1980,7,16,-5.848366
1980,7,17,-7.4960938
1980,7,18,-7.8983383
1980,7,19,-7.5699615
1980,7,20,-6.588913
1980,7,21,-6.5616226
1980,7,22,-7.4015656
1980,7,23,-7.1041565
1980,7,24,-5.4903107
1980,7,25,-4.671074
1980,7,26,-5.050667
1980,7,27,-7.7770233
1980,7,28,-10.834137
1980,7,29,-10.1609955
1980,7,30,-9.706436
1980,7,31,-10.979485
1980,8,1,-7.7955627
1980,8,2,-8.577354
1980,8,3,-9.705902
1980,8,4,-9.234657
1980,8,5,-7.4105225
1980,8,6,-8.5084305
1980,8,7,-10.63752
1980,8,8,-6.8235703
1980,8,9,-4.985489
1980,8,10,-5.2524185
1980,8,11,-4.232445
1980,8,12,-4.7000885
1980,8,13,-5.4335403
1980,8,14,-4.5017853
1980,8,15,-1.992897
1980,8,16,-1.736702
1980,8,17,-2.1372833
1980,8,18,-2.5789032
1980,8,19,-2.7971115
1980,8,20,-2.5578232
1980,8,21,-1.7135849
1980,8,22,-2.2853317
1980,8,23,-2.5145264
1980,8,24,-2.1735687
1980,8,25,-3.2371445
1980,8,26,-4.914604
1980,8,27,-4.767006
1980,8,28,-4.0921097
1980,8,29,-3.8346634
1980,8,30,-5.4640503
1980,8,31,-4.2043
1980,9,1,-3.3222046
1980,9,2,-1.678772
1980,9,3,-2.2413025
1980,9,4,-3.1210938
1980,9,5,-1.2263641
1980,9,6,1.0891037
1980,9,7,2.2515411
1980,9,8,4.5295105
1980,9,9,6.2932434
1980,9,10,8.134354
1980,9,11,7.6777267
1980,9,12,6.591858
1980,9,13,6.8303223
1980,9,14,6.7888412
1980,9,15,7.6259003
1980,9,16,7.7417984
1980,9,17,8.8741
1980,9,18,6.2353745
1980,9,19,3.5792084
1980,9,20,3.517746
1980,9,21,2.9838867
1980,9,22,3.7614365
1980,9,23,11.366455
1980,9,24,18.473461
1980,9,25,18.856602
1980,9,26,15.701675
1980,9,27,14.26807
1980,9,28,15.115849
1980,9,29,15.584629
1980,9,30,13.247532
1980,10,1,9.507362
1980,10,2,6.9362907
1980,10,3,6.760975
1980,10,4,8.08683
1980,10,5,6.3570137
1980,10,6,8.624012
1980,10,7,4.3875046
1980,10,8,0.11184311
1980,10,9,-1.1489792
1980,10,10,-1.2681503
1980,10,11,-0.4636917
1980,10,12,5.3762474
1980,10,13,12.191189
1980,10,14,16.162872
1980,10,15,12.424599
1980,10,16,9.618149
1980,10,17,7.687294
1980,10,18,9.136734
1980,10,19,8.244331
1980,10,20,7.391308
1980,10,21,7.1672745
1980,10,22,4.8049564
1980,10,23,3.824438
1980,10,24,4.4078274
1980,10,25,6.8869286
1980,10,26,8.953842
1980,10,27,12.079243
1980,10,28,11.971491
1980,10,29,11.544704
1980,10,30,13.8124695
1980,10,31,16.014914
1980,11,1,15.64571
1980,11,2,13.364567
1980,11,3,12.073927
1980,11,4,10.817997
1980,11,5,8.475196
1980,11,6,7.033184
1980,11,7,5.4038
1980,11,8,3.0660677
1980,11,9,3.079545
1980,11,10,2.972744
1980,11,11,2.246274
1980,11,12,-0.39187765
